,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,company,condition,dates_clean,approval_date,generic_name,Biosimilar or new formulation?,total_pts_rct,txt_pts_rct,placebo_pts_rct,comparator_pts_rct,NCTid_1,NCTid_2,NCTid_3,NCTid_4,NCTid_5,NCTid_6,,
1,Yupelri,,,,,,,,,,,,TRUE,,,Yupelri (revefenacin) is a long-acting muscarinic antagonist (LAMA) for the treatment of chronic obstructive pulmonary disease (COPD).,"Theravance Biopharma, Inc.",Chronic Obstructive Pulmonary Disease,9-Nov-18,11/9/18,revefenacin,No,812,395,417,0,NCT02459080,NCT02512510,,,,,,
,Primatene Mist,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Primatene Mist (epinephrine) is an over-the-counter (OTC) bronchodilator used for the temporary relief of the symptoms of mild asthma. The new formulation of Primatene Mist approved November 2018 is a CFC-free metered dose inhaler (MDI) containing hydrofluoroalkane (HFA) propellants.","Amphastar Pharmaceuticals, Inc.",Asthma,8-Nov-18,11/8/18,epinephrine,Yes,0,,,,,,,,,,,
,Bryhali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bryhali (halobetasol propionate) is a high-potency topical corticosteroid formulation for the treatment of plaque psoriasis in adults.,Ortho Dermatologics,Plaque Psoriasis,6-Nov-18,11/6/18,halobetasol propionate,Yes,0,,,,,,,,,,,
,Dsuvia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Dsuvia (sufentanil) is a synthetic opioid analgesic formulation for the management of acute pain that is severe enough to require an opioid analgesic, and for which alternative treatments are inadequate. ","AcelRx Pharmaceuticals, Inc.",Pain,2-Nov-18,11/2/18,sufentanil,Yes,0,,,,,,,,,,,
1,Lorbrena,,,,,,,,TRUE,,,,,,,Lorbrena (lorlatinib) is an anaplastic lymphoma kinase (ALK) tyrosine kinase inhibitor (TKI) for the treatment of patients with ALK-positive metastatic non-small cell lung cancer (NSCLC).,Pfizer Inc.,Non-Small Cell Lung Cancer,2-Nov-18,11/2/18,lorlatinib,No,215,215,0,0,NCT01970865,,,,,,,
,Udenyca,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Udenyca (pegfilgrastim-cbqv) is a PEGylated growth colony-stimulating factor biosimilar to Neulasta (pegfilgrastim) indicated to reduce the duration of febrile neutropenia in patients treated with chemotherapy.,"Coherus BioSciences, Inc.",Neutropenia Associated with Chemotherapy,2-Nov-18,11/2/18,pegfilgrastim-cbqv,Yes,,,,,,,,,,,,
,Sympazan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Sympazan (clobazam) is an oral film benzodiazepine formulation indicated for the adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome.,"Aquestive Therapeutics, Inc.",Lennox-Gastaut Syndrome,1-Nov-18,11/1/18,clobazam,Yes,215,215,,,NCT01970865,,,,,,,
,Hyrimoz,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Hyrimoz (adalimumab-adaz) is an anti-TNF-‘± monoclonal antibody biosimilar to Humira, approved for the treatment of various inflammatory diseases including rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohnäó»s disease, ulcerative colitis, and plaque psoriasis.",Sandoz Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease -- Maintenance, Ulcerative Colitis, Plaque Psoriasis",30-Oct-18,10/30/18,adalimumab-adaz,Yes,,,,,,,,,,,,
,Bijuva,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bijuva (estradiol and progesterone) is a bio-identical hormone combination for the treatment of moderate-to-severe vasomotor symptoms (hot flashes) due to menopause.,"TherapeuticsMD, Inc.",Menopausal Vasomotor Symptoms,28-Oct-18,10/28/18,estradiol and progesterone,Yes,0,,,,,,,,,,,
1,Xofluza,,,,,,,TRUE,,,,,,,,"Xofluza (baloxavir marboxil) is a polymerase acidic (PA) endonuclease inhibitor for the treatment of influenza (the flu) in people 12 years of age and older who have had flu symptoms for no more than 48 hours and who are otherwise healthy, or at high risk of developing flu-related complications.","Genentech, Inc.",Influenza,24-Oct-18,10/24/18,baloxavir marboxil,No,885,555,330,0,Studyæ1518T0821,NCT02954354,,,,,,
,Khapzory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Khapzory (levoleucovorin) is a folate analog indicated for:,"Spectrum Pharmaceuticals, Inc.","Methotrexate Rescue, Folic Acid Antagonist Overdose, Colorectal Cancer",19-Oct-18,10/19/18,levoleucovorin,New active ingredient,0,,,,,,,,,,,
1,Talzenna,,,,,,,,TRUE,,,,,,,Talzenna (talazoparib) is an oral poly ADP ribose polymerase (PARP) inhibitor indicated for the treatment of patients with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) HER2-negative locally advanced or metastatic breast cancer.,Pfizer Inc.,Breast Cancer,16-Oct-18,10/16/18,talazoparib,No,431,287,0,144,NCT01945775,,,,,,,
,Yutiq,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,Yutiq (fluocinolone acetonide) is a corticosteroid intravitreal implant indicated for the treatment of chronic non-infectious uveitis affecting the posterior segment of the eye.,"EyePoint Pharmaceuticals, Inc.",Non-Infectious Posterior Segment Uveitis,12-Oct-18,10/12/18,fluocinolone acetonide,New Formulation or New Manufacturer,0,,,,,,,,,,,
1,Tegsedi,,,,,,,,,,TRUE,,,,,Tegsedi (inotersen) is an antisense oligonucleotide inhibitor of the transthyretin (TTR) protein for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults. ,"Ionis Pharmaceuticals, Inc.",Amyloidogenic Transthyretin Amyloidosis,5-Oct-18,10/5/18,inotersen,No,173,113,60,0,NCT 01737398,,,,,,,
1,Revcovi,,,,,,,,TRUE,,,,,,,Revcovi (elapegademase-lvlr) is a recombinant adenosine deaminase indicated for the treatment of adenosine deaminase severe combined immune deficiency (ADA-SCID).,"Leadiant Biosciences, Inc.",Adenosine Deaminase Severe Combined Immune,5-Oct-18,10/5/18,elapegademase-lvlr,No,10,10,0,0,NCT01420627,STM-279-301,,,,,,
1,Nuzyra,,,,,,,TRUE,,,,,,,,Nuzyra (omadacycline) is an aminomethylcycline tetracycline antibiotic for the treatment of community-acquired bacterial pneumonia (CABP) and acute bacterial skin and skin structure infections (ABSSSI).,"Paratek Pharmaceuticals, Inc.","Skin and Structure Infection, Pneumonia",2-Oct-18,10/2/18,omadacycline,No,2164,1083,0,1081,NCT02531438,NCT02378480,NCT02877927,,,,,
,Climara Pro,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Climara Pro (estradiol and levonorgestrel) is a transdermal combined hormone therapy for the relief of moderate to severevasomotor symptoms associated with menopause, such as hot flashesand night sweats.",Berlex Laboratories,Postmenopausal Symptoms,21-Nov-03,11/21/03,estradiol and levonorgestrel,,,,,,,,,,,,,
,Cialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cialis is a phosphodiesterase 5 (PDE5) inhibitor indicated for erectile dysfunction, and to treat the signs and symptoms of benign prostatic hyperplasia. ",Eli Lilly and Co.,"Erectile Dysfunction, Benign Prostatic Hyperplasia",21-Nov-03,11/21/03,PDE5,,,,,,,,,,,,,
,Equetro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Equetro (carbamazepine) is an extended-release anticonvulsant indicated for the treatment of acute manic and mixed episodes associated with Bipolar I Disorder.,Shire Pharmaceuticals Group plc,Bipolar Disorder,10-Dec-04,12/10/04,carbamazepine,,,,,,,,,,,,,
,Zylet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Zylet (loteprednol etabonate and tobramycin ophthalmic suspension) a topicalanti-inflammatory corticosteroid and antibiotic combination for use in the treatment of inflammatory ocular conditions.",Bausch & Lomb,"Uveitis, Iritis, Bacterial Conjunctivitis, Keratitis, Cyclitis",14-Dec-04,12/14/04,loteprednol etabonate and tobramycin ophthalmic suspension,,,,,,,,,,,,,
,Kepivance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Kepivance (palifermin) is a recombinant human keratinocyte growth factorindicated to decrease the incidence and duration of severe oralmucositis.",Amgen Inc.,Mucositis,15-Dec-04,12/15/04,palifermin,,,,,,,,,,,,,
,Lunesta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lunesta (eszopiclone) is a nonbenzodiazepinehypnotic agent indicated for the treatment of patients whoexperience difficulty falling asleep as well as for the treatmentof patients who are unable to sleep through the night (sleepmaintenance difficulty).",Sepracor Inc.,Insomnia,15-Dec-04,12/15/04,eszopiclone,,,,,,,,,,,,,
,Macugen,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Macugen (pegaptanib) is a selective vascular endothelial growth factor (VEGF)antagonist indicated for the treatment of neovascular (wet)age-related macular degeneration (AMD), an eye disease associatedwith aging that destroys central vision.",Eyetech / Pfizer Inc,Macular Degeneration,17-Dec-04,12/17/04,pegaptanib,,,,,,,,,,,,,
,depo-subQ provera 104,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"depo-subQ provera 104 (medroxyprogesterone acetate) is a lower dose,subcutaneous formulation of Depo Provera indicated for theprevention of pregnancy in women of child bearing potential.",Pfizer Inc.,Contraception,17-Dec-04,12/17/04,medroxyprogesterone acetate,,,,,,,,,,,,,
,Enablex,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Enablex (darifenacin) is a muscarinic receptor antagonist indicated forthe treatment of overactive bladder.","Allergan, Inc.",Overactive Bladder,22-Dec-04,12/22/04,darifenacin,,,,,,,,,,,,,
,Clolar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Clolar (clofarabine) is a purine nucleoside anti-metabolite indicated for thetreatment of children with refractory or relapsed acutelymphoblastic leukemia (ALL).",Genzyme Corp.,Acute Lymphoblastic Leukemia,28-Dec-04,12/28/04,clofarabine,,,,,,,,,,,,,
,Prialt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Prialt (ziconotide) is a non-opioid intrathecal (IT) therapy indicated for the management of severe chronic pain in patients for whom intrathecal therapy is warranted, and who are intolerant of or refractory to other treatment, such as systemic analgesics, adjunctive therapies, or IT morphine.","Elan Corporation, plc",Pain,28-Dec-04,12/28/04,ziconotide,,,,,,,,,,,,,
,Ventavis,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ventavis (iloprost) inhalation solution is synthetic analogue of prostacyclin PGIB2B indicated for the treatment of pulmonary arterial hypertension.,"CoTherix, Inc.",Pulmonary Hypertension,29-Dec-04,12/29/04,iloprost,,,,,,,,,,,,,
,Lyrica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lyrica (pregabalin) is a structural derivative of the inhibitory neurotransmitter gamma aminobutyric acid indicated for the management of neuropathic pain associated with diabetic peripheral neuropathy, postherpetic neuralgia and spinal cord injury; as an adjunctive therapy for partial onset seizures and for the treatment of fibromyalgia.",Pfizer Inc.,"Neuropathic Pain, Postherpetic Neuralgia, Fibromyalgia, Diabetic Neuropathy, Epilepsy",30-Dec-04,12/30/04,pregabalin,,,,,,,,,,,,,
,Abraxane,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Abraxane (paclitaxel protein-bound) is an albumin-bound form of the antineoplastic agent paclitaxel indicated for the treatment of breast cancer, non-small cell lung cancer, and pancreatic cancer.","American Pharmaceutical Partners, Inc. / American Bioscience, Inc.","Breast Cancer, Non-Small Cell Lung Cancer, Pancreatic Cancer",7-Jan-05,1/7/05,paclitaxel protein-bound,,,,,,,,,,,,,
,ThyroShield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,ThyroShield (potassium iodide) is used to protect the thyroid gland from the effects of radiation from inhaled or swallowed radioactive iodine.,Fleming & Company,Radiation Emergency,12-Jan-05,1/12/05,potassium iodide,,,,,,,,,,,,,
,Menactra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Menactra (meningococcal conjugate vaccine) is a quadrivalent conjugate vaccine indicated for the prevention of meningococcal disease.,Sanofi Pasteur,Meningococcal Meningitis Prophylaxis,14-Jan-05,1/14/05,meningococcal conjugate vaccine,,,,,,,,,,,,,
1,Seysara,,,,,,,TRUE,,,,,,,,"Seysara (sarecycline) is an oral, narrow spectrum tetracycline-derived antibiotic for the treatment of inflammatory lesions of non-nodular moderate to severe acne vulgaris.","Almirall, S.A.",Acne,1-Oct-18,10/1/18,sarecycline,No,2002,1002,1000,0,NCT02320149,NCT02322866,,,,,,
,RotaTeq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RotaTeq (rotavirus vaccine, live, oral, pentavalent) is an oral, three-dose vaccine given to infants between the ages of six to 32 weeks for the prevention of rotavirus gastroenteritis, a leading cause of severe diarrhea in infants and young children.","Merck & Co., Inc.",Rotavirus Gastroenteritis,3-Feb-06,2/3/06,"rotavirus vaccine, live, oral, pentavalent",,,,,,,,,,,,,
,Vusion,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,"Vusion (miconazole nitrate, zinc oxide and white petrolatum) is a steroid-free ointment for the treatment of diaper dermatitis.","Barrier Therapeutics, Inc.",Cutaneous Candidiasis,16-Feb-06,2/16/06,"miconazole nitrate, zinc oxide and white petrolatum",,,,,,,,,,,,,
,Eraxis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eraxis (anidulafungin) is an antifungal medicine of the echinocandin class, indicated for the treatment of candidemia and other forms of Candida infections (intra-abdominal abscess, and peritonitis) and esophageal candidiasis.",Pfizer Inc.,Candidemia,17-Feb-06,2/17/06,anidulafungin,,,,,,,,,,,,,
,Loestrin 24 Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loestrin 24 Fe (norethindrone acetate/ethinyl estradiol and ferrous fumarate) is an oral contraceptive providing 24 days of active hormonal therapy with four days of iron containing placebo pills. Loestrin 24 Fe is indicated for the prevention of pregnancy.,Warner Chilcott,Contraception,17-Feb-06,2/17/06,norethindrone acetate/ethinyl estradiol and ferrous fumarate,,,,,,,,,,,,,
,Emsam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emsam is a transdermal patch containing the monoamine oxidase inhibitor selegiline. Emsam is indicated for the treatment of major depressive disorder (MDD) in adults.,"Somerset Pharmaceuticals, Inc.",Depression,27-Feb-06,2/27/06,MDD,,,,,,,,,,,,,
,Tekturna,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tekturna (aliskiren) is a direct renin inhibitor indicated as a once-daily oral therapy for the treatment of high blood pressure.,Novartis,Hypertension,5-Mar-07,3/5/07,aliskiren,,,,,,,,,,,,,
,Tykerb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tykerb (lapatinib) is a kinase inhibitor indicated for the combination treatment of patients with advanced or metastatic breast cancer.,GlaxoSmithKline,Breast Cancer,13-Mar-07,3/13/07,lapatinib,,,,,,,,,,,,,
,Soliris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soliris is a complement inhibitor indicated for:,"Alexion Pharmaceuticals, Inc.","Paroxysmal Nocturnal Hemoglobinuria, Hemolytic Uremic Syndrome, Myasthenia Gravis",16-Mar-07,3/16/07,NA,,,,,,,,,,,,,
,Ceprotin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceprotin is a plasma-derived Protein C concentrate for use as replacement therapy in patients with life-threatening blood-clotting complications related to severe congenital Protein C deficiency.,Baxter Healthcare Corporation,Protein C Deficiency,30-Mar-07,3/30/07,NA,,,,,,,,,,,,,
,Janumet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Janumet is a combination of the oral antihyperglycemic drugs sitagliptin and metformin indicated as an adjunct to diet and exercise to improve glycemic control in adult patients with type 2 diabetes mellitus.,"Merck & Co., Inc.",Diabetes Type 2,30-Mar-07,3/30/07,NA,,,,,,,,,,,,,
,Rotarix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rotarix (rotavirus vaccine live) is an oral, two-dose, live attenuated vaccine for the prevention of rotavirus gastroenteritis in children.",GlaxoSmithKline,Prevention of Rotavirus Gastroenteritis,3-Apr-08,4/3/08,rotavirus vaccine live,,,,,,,,,,,,,
,Lexiscan,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Lexiscan (regadenoson) is an A2Aadenosine receptor agonist indicated for use as a pharmacologic stress agentin radionuclide myocardial perfusion imaging (MPI), a test thatdetects and characterizes coronary artery disease, in patientsunable to undergo adequate exercise stress.","CV Therapeutics, Inc.",Diagnostic,10-Apr-08,4/10/08,regadenoson,,,,,,,,,,,,,
,Treximet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Treximet is a combination of sumatriptan (a migraine-specific triptan) and naproxen (an anti-inflammatory pain reliever) in a single tablet for the acute treatment of migraine.,"Pernix Therapeutics Holdings, Inc.",Migraine,15-Apr-08,4/15/08,a migraine-specific triptan,,,,,,,,,,,,,
,Patanase,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Patanase (olopatadine) is an antihistamine nasal spray for the treatment of symptoms ofseasonal allergic rhinitis in adults and adolescents twelve years of age and older.","Alcon, Inc.",Allergic Rhinitis,15-Apr-08,4/15/08,olopatadine,,,,,,,,,,,,,
,Cimzia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cimzia (certolizumab) is a PEGylated anti-TNF (tumor necrosis factor) biologic therapy for the treatment of Crohnäó»s disease, rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, plaque psoriasis, and non-radiographic axial spondyloarthritis.","UCB, Inc.","Crohn's Disease -- Acute, Rheumatoid Arthritis, Psoriatic Arthritis, Plaque Psoriasis, Ankylosing Spondylitis",22-Apr-08,4/22/08,certolizumab,,,,,,,,,,,,,
,Aplenzin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplenzin is a once-daily formulation of bupropion hydrobromide indicated for the treatment of depression in adults.,Biovail Corporation,Depression,23-Apr-08,4/23/08,NA,,,,,,,,,,,,,
,Relistor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relistor (methylnaltrexone) is a peripherally acting mu-opioid receptor antagonist indicated to treat opioid-induced constipation.,"Salix Pharmaceuticals, Inc.",Constipation,25-Apr-08,4/25/08,methylnaltrexone,,,,,,,,,,,,,
,Cetraxal,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,Cetraxal (ciprofloxacin otic) is an antibiotic ear solution for the treatment of acute otitis externa.,Salvat,Otitis Externa,1-May-09,5/1/09,ciprofloxacin otic,,,,,,,,,,,,,
,Cycloset,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Cycloset (bromocriptine) is a first-in-class, central acting agent for the treatment of Type 2 Diabetes.","VeroScience and S2 Therapeutics, Inc. ",Diabetes Type 2,5-May-09,5/5/09,bromocriptine,,,,,,,,,,,,,
,Fanapt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Fanapt (iloperidone) is a 5HT2/D2 antagonist (atypical) antipsychotic for the treatment of schizophrenia.,Vanda Pharmaceuticals Inc.,Schizophrenia,6-May-09,5/6/09,iloperidone,,,,,,,,,,,,,
,Samsca,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Samsca (tolvaptan) is an oral selective vasopressin antagonist for the treatment of patients with clinically significant hypervolemic and euvolemic hyponatremia.,"Otsuka Pharmaceutical Development & Commercialization, Inc.",Hyponatremia,19-May-09,5/19/09,tolvaptan,,,,,,,,,,,,,
,Adcirca,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Adcirca (tadalafil) is a once-daily phosphodiesterase type 5 (PDE5) inhibitor for the treatment of pulmonary arterial hypertension (PAH).,United Therapeutics Corporation,Pulmonary Hypertension,22-May-09,5/22/09,tadalafil,,,,,,,,,,,,,
,Besivance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Besivance (besifloxacin ophthalmic suspension) is a topical quinolone antimicrobial for the treatment of bacterial conjunctivitis, commonly referred to as ""pink eye.""",Bausch & Lomb,Bacterial Conjunctivitis,28-May-09,5/28/09,besifloxacin ophthalmic suspension,,,,,,,,,,,,,
1,Libtayo,,,,,,,,TRUE,,,,,,,Libtayo (cemiplimab-rwlc) is a programmed death receptor-1 (PD-1) blocking antibody indicated for the treatment of patients with metastatic cutaneous squamous cell carcinoma (CSCC).,Sanofi,Squamous Cell Carcinoma,28-Sep-18,9/28/18,cemiplimab-rwlc,No,108,108,0,0,NCT02383212,NCT02760498,,,,,,
,Arikayce,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,"Arikayce (amikacin liposome inhalation suspension) is an aminoglycoside antibacterialindicated for the treatment of Mycobacterium avium complex (MAC) lung disease in adults who have limited or no alternative treatment options.","Insmed, Inc.",Mycobacterium Avium Complex (MAC) Lung Disease,28-Sep-18,9/28/18,amikacin liposome inhalation suspension,New Dosage Form,0,,,,,,,,,,,
,Xyosted,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xyosted (testosterone enanthate) is a self-administered, subcutaneous injection formulation of the androgen testosterone for the treatment of male hypogonadism, also known as testosterone deficiency or Low T.","Antares Pharma, Inc.",Hypogonadism -- Male,28-Sep-18,9/28/18,testosterone enanthate,New Dosage Form,0,,,,,,,,,,,
1,Emgality,,,,,,,,,,TRUE,,,,,"Emgality (galcanezumab-gnlm) is a calcitonin gene-related peptide (CGRP) antagonist indicated for the preventive treatment of migraine, and for the treatment of episodic cluster headache.",Eli Lilly and Company,"Migraine Prophylaxis, Cluster Headache",27-Sep-18,9/27/18,galcanezumab-gnlm,No,2831,1418,1413,0,NCT02614183,NCT02614196,NCT02614261,,,,,
1,Vizimpro,,,,,,,,TRUE,,,,,,,"Vizimpro (dacomitinib) is an oral, once-daily, irreversible pan-human epidermal growth factor receptor tyrosine kinase inhibitor (TKI) indicated for the treatment of metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as detected by an FDA-approved test.",Pfizer Inc.,Non-Small Cell Lung Cancer,27-Sep-18,9/27/18,dacomitinib,No,452,227,0,225,NCT01774721,,,,,,,
1,Copiktra,,,,,,,,TRUE,,,,,,,"Copiktra (duvelisib) is a first-in-class, oral, dual phosphoinositide-3-kinase (PI3K)-delta/PI3K-gamma inhibitor for the treatment relapsed or refractory chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL) and relapsed or refractory follicular lymphoma (FL).","Verastem, Inc.","Chronic Lymphocytic Leukemia, Follicular Lymphoma",24-Sep-18,9/24/18,duvelisib,No,279,178,0,101,NCT02004522,NCT02204982,,,,,,
1,Ajovy,,,,,,,,,,TRUE,,,,,Ajovy (fremanezumab) is a fully-humanized monoclonal antibody targeting the calcitonin gene-related peptide (CGRP) ligand indicated for the preventive treatment of migraine.,Teva Pharmaceutical Industries Ltd.,Migraine Prophylaxis,14-Sep-18,9/14/18,fremanezumab,No,1986,1325,661,0,NCT02629861,NCT02621931,,,,,,
1,Lumoxiti,,,,,,,,TRUE,,,,,,,Lumoxiti (moxetumomab pasudotox-tdfk) is an anti-CD22 recombinant immunotoxin for the treatment of adult patients with hairy cell leukemia.,AstraZeneca and MedImmune,Hairy Cell Leukemia,13-Sep-18,9/13/18,moxetumomab pasudotox-tdfk,No,80,80,0,0,NCT01829711,,,,,,,
,Xelpros,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Xelpros (latanoprost) is a prostaglandin F2‘± analog indicated for reduction of elevated intraocular pressure in patients with open-angle glaucoma, or ocular hypertension.",Sun Pharmaceutical Industries Ltd.,"Glaucoma (Open Angle), Intraocular Hypertension",12-Sep-18,9/12/18,latanoprost,New Dosage Form,0,,,,,,,,,,,
,Cassipa,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,Cassipa (buprenorphine and naloxone) sublingual film is a partialäóêopioid agonist and opioid antagonist combination indicated for the maintenance treatment of opioid dependence.,Teva Pharmaceuticals USA Inc.,Opiate Dependence - Maintenance,7-Sep-18,9/7/18,buprenorphine and naloxone,Yes,0,,,,,,,,,,,
,Tiglutik,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Tiglutik (riluzole) is an easy-to-swallow, thickened, oral suspension formulation of the approved drug riluzole for the treatment of amyotrophic lateral sclerosis (ALS).",ITF Pharma,Amyotrophic Lateral Sclerosis,5-Sep-18,9/5/18,riluzole,Yes,0,,,,,,,,,,,
1,Jivi,,TRUE,,,,,,,,,,,,,"Jivi (antihemophilic factor (recombinant), PEGylated-aucl) is a recombinant DNA-derived, Factor VIII concentrate indicated to treat and control bleeding in patients with hemophilia A. ",Bayer HealthCare LLC,Hemophilia A,30-Aug-18,8/30/18,recombinant,Blood,145,145,0,0,NCT01580293,,,,,,,
1,Pifeltro,,,,,,,TRUE,,,,,,,,Pifeltro (doravirine) is a non-nucleoside reverse transcriptase inhibitor (NNRTI) indicated for the treatment of HIV-1 infection.,Merck,HIV Infection,30-Aug-18,8/30/18,doravirine,No,1494,747,0,747,NCT02275780,NCT02403674,,,,,,
