ActiveIngredient,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,SubmissionsPublicNotes,ReviewPriority,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,dates,company,condition,dates_clean,approval_date,generic_name,generic_name_fw
OCRIPLASMIN,ORIG,1,AP,2012-10-17T00:00:00Z,NA,PRIORITY,jetrea,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Jetrea (ocriplasmin) is a proteolytic enzyme indicated for the treatment of symptomatic vitreomacular adhesion.,"October 17, 2012",ThromboGenics NV,Vitreomacular Adhesion,"October 17, 2012",2012-10-17,ocriplasmin,ocriplasmin
ADO-TRASTUZUMAB EMTANSINE,ORIG,1,AP,2013-02-22T00:00:00Z,NA,PRIORITY,kadcyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kadcyla (ado-trastuzumab emtansine) is a HER2-targeted antibody and microtubule inhibitor conjugate indicated for the treatment of patients with HER2-positive, metastatic breast cancer.","February 22, 2013","Genentech, Inc.",Breast Cancer,"February 22, 2013",2013-02-22,ado-trastuzumab emtansine,ado
ALBIGLUTIDE,ORIG,1,AP,2014-04-15T00:00:00Z,NA,STANDARD,tanzeum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tanzeum (albiglutide) is a glucagon-like peptide-1 (GLP-1) receptor agonist for the treatment of type 2 diabetes.,"April 15, 2014",GlaxoSmithKline (GSK) plc,Diabetes Type 2,"April 15, 2014",2014-04-15,albiglutide,albiglutide
ELOSULFASE ALFA,ORIG,1,AP,2014-02-14T00:00:00Z,NA,PRIORITY,vimizim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vimizim (elosufase alfa) is an enzyme replacement therapy for patients with Mucopolysaccharidosis Type IVA (Morquio A syndrome).,"February 14, 2014",BioMarin Pharmaceutical Inc.,Mucopolysaccharidosis Type IVA,"February 14, 2014",2014-02-14,elosufase alfa,elosufase
DULAGLUTIDE,ORIG,1,AP,2014-09-18T00:00:00Z,NA,STANDARD,trulicity,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Trulicity (dulaglutide) is a glucagon-like peptide-1 (GLP-1) receptor agonist for the treatment of type 2 diabetes.,"September 18, 2014Company: Eli Lilly and ",Eli Lilly and Company,Diabetes Type 2,"September 18, 2014",2014-09-18,dulaglutide,dulaglutide
VEDOLIZUMAB,ORIG,1,AP,2014-05-20T00:00:00Z,NA,PRIORITY,entyvio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Entyvio (vedolizumab) is an integrin receptor antagonist for the treatment of Crohn's disease and ulcerative colitis. ,"May 20, 2014Company: Takeda Pharmaceutical ",Takeda Pharmaceutical Company Limited,"Crohn's Disease -- Acute, Ulcerative Colitis","May 20, 2014",2014-05-20,vedolizumab,vedolizumab
RAMUCIRUMAB,ORIG,1,AP,2014-04-21T00:00:00Z,NA,PRIORITY,cyramza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cyramza (ramucirumab) is a human vascular endothelial growth factor receptor 2 (VEGFR2) antagonist indicated:,"April 21, 2014Company: Eli Lilly and ",Eli Lilly and Company,"Gastric Cancer, Non-Small Cell Lung Cancer, Colorectal Cancer, Hepatocellular Carcinoma","April 21, 2014",2014-04-21,ramucirumab,ramucirumab
OBINUTUZUMAB,ORIG,1,AP,2013-11-01T00:00:00Z,NA,PRIORITY,gazyva,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gazyva (obinutuzumab) is a CD20-directed
cytolytic antibody indicated for the combination treatment of patients with chronic lymphocytic leukemia and follicular lymphoma.","November 1, 2013",Genentech,"Chronic Lymphocytic Leukemia, Follicular Lymphoma","November 1, 2013",2013-11-01,obinutuzumab,obinutuzumab
SILTUXIMAB,ORIG,1,AP,2014-04-23T00:00:00Z,NA,PRIORITY,sylvant,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sylvant (siltuximab) is an interleukin-6 (IL-6) antagonist indicated for the treatment of patients with multicentric Castleman’s disease.,"April 22, 2014","Janssen Research & Development, LLC",Multicentric Castleman's Disease,"April 22, 2014",2014-04-22,siltuximab,siltuximab
PEGINTERFERON BETA-1A,ORIG,1,AP,2014-08-15T00:00:00Z,NA,STANDARD,plegridy,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Plegridy (peginterferon beta-1a) is a pegylated interferon beta indicated for the treatment of patients with relapsing forms of multiple sclerosis.,"August 15, 2014",Biogen Idec,Multiple Sclerosis,"August 15, 2014",2014-08-15,peginterferon beta-1a,peginterferon
SECUKINUMAB,ORIG,1,AP,2015-01-21T00:00:00Z,NA,STANDARD,cosentyx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cosentyx (secukinumab) is a selective interleukin-17A (IL-17A) inhibitor for the treatment of plaque psoriasis, ankylosing spondylitis, and psoriatic arthritis.","January 21, 2015",Novartis Pharmaceuticals Corporation,"Plaque Psoriasis, Ankylosing Spondylitis, Psoriatic Arthritis","January 21, 2015",2015-01-21,secukinumab,secukinumab
OBILTOXAXIMAB,ORIG,1,AP,2016-03-18T00:00:00Z,NA,STANDARD,anthim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Anthim (obiltoxaximab) is a monoclonal antibody (mAb) anthrax antitoxin for the treatment and prevention of inhalational anthrax.,"March 18, 2016","Elusys Therapeutics, Inc.","Anthrax Prophylaxis, Inhalation Bacillus anthracis","March 18, 2016",2016-03-18,obiltoxaximab,obiltoxaximab
PARATHYROID HORMONE,ORIG,1,AP,2015-01-23T00:00:00Z,NA,STANDARD,natpara,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Natpara (parathyroid hormone) is recombinant human parathyroid hormone 1-84 indicated to control hypocalcemia in patients with hypoparathyroidism.,"January 23, 2015","NPS Pharmaceuticals, Inc. ",Hypoparathyroidism,"January 23, 2015",2015-01-23,parathyroid hormone,parathyroid
ASFOTASE ALFA,ORIG,1,AP,2015-10-23T00:00:00Z,NA,PRIORITY,strensiq,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strensiq (asfotase alfa) is a tissue nonspecific alkaline phosphatase  enzyme replacement therapy indicated for the treatment of patients with perinatal, infantile and juvenile-onset hypophosphatasia (HPP).
","October 23, 2015","Alexion Pharmaceuticals, Inc.",Hypophosphatasia,"October 23, 2015",2015-10-23,asfotase alfa,asfotase
PEMBROLIZUMAB,ORIG,1,AP,2014-09-04T00:00:00Z,NA,PRIORITY,keytruda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Keytruda (pembrolizumab) is a human PD-1 (programmed death receptor-1)-blocking antibody indicated for the treatment of melanoma, non-small cell lung cancer, small cell lung cancer, head and neck squamous cell carcinoma, classical Hodgkin lymphoma, primary mediastinal large B-cell lymphoma, urothelial carcinoma, microsatellite instability-high cancer, gastric cancer, esophageal cancer, cervical cancer, hepatocellular carcinoma, Merkel cell carcinoma, renal cell carcinoma, and endometrial carcinoma.","September 4, 2014","Merck & Co., Inc.","Melanoma -- Metastatic, Non-Small Cell Lung Cancer, Head and Neck Cancer, Hodgkin's Disease, Urothelial Carcinoma, Gastric Cancer, Cervical Cancer, Hepatocellular Carcinoma, Merkel Cell Carcinoma, Renal Cell Carcinoma, Small Cell Lung Cancer, Esophageal Carcinoma, Endometrial Carcinoma","September 4, 2014",2014-09-04,pembrolizumab,pembrolizumab
DINUTUXIMAB,ORIG,1,AP,2015-03-10T00:00:00Z,NA,PRIORITY,unituxin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unituxin (dinutuximab) is a chimeric monoclonal antibody used for the treatment of pediatric neuroblastoma.,"March 10, 2015",United Therapeutics Corporation,Neuroblastoma,"March 10, 2015",2015-03-10,dinutuximab,dinutuximab
IXEKIZUMAB,ORIG,1,AP,2016-03-22T00:00:00Z,NA,STANDARD,taltz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Taltz (ixekizumab) is a humanized interleukin-17A antagonist indicated for the treatment of plaque psoriasis, psoriatic arthritis, and ankylosing spondylitis.","March 22, 2016Company: Eli Lilly and ",Eli Lilly and Company,"Plaque Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis","March 22, 2016",2016-03-22,ixekizumab,ixekizumab
EVOLOCUMAB,ORIG,1,AP,2015-08-27T00:00:00Z,NA,STANDARD,repatha,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Repatha (evolocumab) is a monoclonal antibody targeting PCSK9 (proprotein convertase subtilisin/kexin type 9) indicated for the treatment of patients with heterozygous familial hypercholesterolemia; homozygous familial hypercholesterolemia; and to reduce the risk of myocardial infarction, stroke, and coronary revascularization in adults with established cardiovascular disease. ","August 27, 2015",Amgen Inc.,High Cholesterol; Prevention of Heart Attack and Stroke,"August 27, 2015",2015-08-27,evolocumab,evolocumab
MEPOLIZUMAB,ORIG,1,AP,2015-11-04T00:00:00Z,NA,STANDARD,nucala,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Nucala (mepolizumab) is an interleukin-5 antagonist monoclonal antibody (IgG1 kappa) indicated for the add-on maintenance treatment of patients with severe eosinophilic asthma, and for the treatment of adult patients with eosinophilic granulomatosis with polyangiitis (Churg-Strauss syndrome).","November 4, 2015",GlaxoSmithKline plc,"Asthma, Churg-Strauss Allergic Angiitis","November 4, 2015",2015-11-04,mepolizumab,mepolizumab
NECITUMUMAB,ORIG,1,AP,2015-11-24T00:00:00Z,NA,STANDARD,portrazza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Portrazza (necitumumab) is an epidermal growth factor receptor (EGFR) antagonist indicated in combination with gemcitabine and cisplatin for the treatment of patients with metastatic squamous non-small cell lung cancer. ,"November 24, 2015Company: Eli Lilly and ",Eli Lilly and Company,Non-Small Cell Lung Cancer,"November 24, 2015",2015-11-24,necitumumab,necitumumab
FILGRASTIM-SNDZ,ORIG,1,AP,2015-03-06T00:00:00Z,NA,STANDARD,zarxio,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Zarxio (filgrastim-sndz) is a leukocyte growth factor biosimilar to the reference product Neupogen, indicated for the treatment of neutropenia associated with chemotherapy.","March 6, 2015",Sandoz,Neutropenia Associated with Chemotherapy,"March 6, 2015",2015-03-06,filgrastim-sndz,filgrastim
NIVOLUMAB,ORIG,1,AP,2014-12-22T00:00:00Z,NA,PRIORITY,opdivo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rapivab (peramivir) is an influenza virus neuraminidase inhibitor indicated for the treatment of acute uncomplicated influenza.,"December 22, 2014Company: Bristol-Myers Squibb ",Bristol-Myers Squibb Company,"Melanoma -- Metastatic, Non-Small Cell Lung Cancer, Renal Cell Carcinoma, Hodgkin's Disease, Head and Neck Cancer, Urothelial Carcinoma, Colorectal Cancer, Hepatocellular Carcinoma, Small Cell Lung Cancer","December 22, 2014",2014-12-22,peramivir,peramivir
BLINATUMOMAB,ORIG,1,AP,2014-12-03T00:00:00Z,NA,PRIORITY,blincyto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Blincyto (blinatumomab) is a bispecific CD19-directed CD3 T-cell engager indicated for the treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL), and minimal residual disease (MRD)-positive B-cell precursor ALL.","December 3, 2014",Amgen Inc.,Acute Lymphoblastic Leukemia,"December 3, 2014",2014-12-03,blinatumomab,blinatumomab
ALIROCUMAB,ORIG,1,AP,2015-07-24T00:00:00Z,NA,STANDARD,praluent,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Praluent (alirocumab) is a PCSK9 (proprotein convertase subtilisin/kexin type 9) inhibitor monoclonal antibody indicated:,"July 24, 2015","Sanofi and Regeneron Pharmaceuticals, Inc.",High Cholesterol,"July 24, 2015",2015-07-24,alirocumab,alirocumab
SEBELIPASE ALFA,ORIG,1,AP,2015-12-08T00:00:00Z,NA,PRIORITY,kanuma,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kanuma (sebelipase alfa) is an enzyme replacement therapy for the treatment of lysosomal acid lipase deficiency (LAL-D).,"December 8, 2015","Alexion Pharmaceuticals, Inc. ",Lysosomal Acid Lipase Deficiency,"December 8, 2015",2015-12-08,sebelipase alfa,sebelipase
CEFTAROLINE FOSAMIL,ORIG,1,AP,2010-10-29T00:00:00Z,NA,STANDARD,teflaro,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,Teflaro (ceftaroline fosamil) is a cephalosporin antibacterial indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) and community-acquired bacterial pneumonia (CABP).,"October 29, 2010","Allergan, Inc.","Pneumonia, Skin and Structure Infection","October 29, 2010",2010-10-29,ceftaroline fosamil,ceftaroline
LURASIDONE HYDROCHLORIDE,ORIG,1,AP,2010-10-28T00:00:00Z,NA,STANDARD,latuda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Latuda (lurasidone) is an atypical antipsychotic agent for the treatment of
schizophrenia and bipolar depression. ","October 28, 2010","Dainippon Sumitomo Pharma America, Inc.","Schizophrenia, Bipolar Disorder","October 28, 2010",2010-10-28,lurasidone,lurasidone
PASIREOTIDE DIASPARTATE,ORIG,1,AP,2012-12-14T00:00:00Z,NA,STANDARD,signifor,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Signifor (pasireotide) is a multireceptor targeting somatostatin analog for the treatment of patients with Cushing's disease.,"December 14, 2012",GlaxoSmithKline,Inhalation Bacillus anthracis,"December 14, 2012",2012-12-14,pasireotide,pasireotide
AZILSARTAN KAMEDOXOMIL,ORIG,1,AP,2011-02-25T00:00:00Z,NA,STANDARD,edarbi,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edarbi (azilsartan medoxomil) is an angiotensin II receptor blocker (ARB) for the treatment of hypertension.,"February 25, 2011Company: Takeda Pharmaceutical ",Takeda Pharmaceutical Company Limited,Hypertension,"February 25, 2011",2011-02-25,azilsartan medoxomil,azilsartan
CABAZITAXEL,ORIG,1,AP,2010-06-17T00:00:00Z,NA,PRIORITY,jevtana,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jevtana (cabazitaxel) is a microtubule inhibitor indicated in combination with prednisone for treatment of patients with hormone-refractory metastatic prostate cancer.,"June 17, 2010",Sanofi-aventis,Prostate Cancer,"June 17, 2010",2010-06-17,cabazitaxel,cabazitaxel
GADOBUTROL,ORIG,1,AP,2011-03-14T00:00:00Z,NA,STANDARD,gadavist,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Gadavist (gadobutrol) is a gadolinium-based contrast agent indicated for use in diagnostic magnetic resonance imaging (MRI).,"March 14, 2011",Bayer HealthCare Pharmaceuticals Inc.,Diagnostic,"March 14, 2011",2011-03-14,gadobutrol,gadobutrol
LINAGLIPTIN,ORIG,1,AP,2011-05-02T00:00:00Z,NA,STANDARD,tradjenta,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tradjenta (linagliptin) is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,"May 2, 2011",Boehringer Ingelheim Pharmaceuticals Inc.,Diabetes Type 2,"May 2, 2011",2011-05-02,linagliptin,linagliptin
AFATINIB DIMALEATE,ORIG,1,AP,2013-07-12T00:00:00Z,NA,PRIORITY,gilotrif,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gilotrif (afatinib) is a kinase inhibitor indicated for the treatment of
patients with metastatic non-small cell lung cancer (NSCLC).","July 12, 2013",Boehringer Ingelheim Pharmaceuticals Inc.,Non-Small Cell Lung Cancer,"July 12, 2013",2013-07-12,afatinib,afatinib
ERIBULIN MESYLATE,ORIG,1,AP,2010-11-15T00:00:00Z,NA,PRIORITY,halaven,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Halaven (eribulin mesylate) is a microtubule inhibitor indicated for the treatment of patients with metastatic breast cancer, and liposarcoma.","November 15, 2010",NA,NA,"November 15, 2010",2010-11-15,eribulin mesylate,eribulin
FIDAXOMICIN,ORIG,1,AP,2011-05-27T00:00:00Z,NA,PRIORITY,dificid,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dificid (fidaxomicin) is a macrolide antibacterial drug indicated for the treatment of Clostridium difficile-associated diarrhea.,"May 27, 2011","Optimer Pharmaceuticals, Inc.",Clostridial Infection,"May 27, 2011",2011-05-27,fidaxomicin,fidaxomicin
TELAPREVIR,ORIG,1,AP,2011-05-23T00:00:00Z,NA,PRIORITY,incivek,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Incivek (telaprevir) is a hepatitis C virus (HCV) NS3/4A protease inhibitor indicated, 
in combination with peginterferon alfa and ribavirin, for the treatment of chronic hepatitis C (CHC).","May 23, 2011",Vertex Pharmaceuticals Incorporated,Chronic Hepatitis C,"May 23, 2011",2011-05-23,telaprevir,telaprevir
FLORBETAPIR F-18,ORIG,1,AP,2012-04-06T00:00:00Z,NA,PRIORITY,amyvid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amyvid (florbetapir F 18) is a radioactive diagnostic agent used for brain imaging of beta-amyloid plaques in patients who are being evaluated for Alzheimer's Disease and other causes of cognitive decline.,"April 6, 2012Company: Eli Lilly and ","Eli Lilly and Company and Avid Radiopharmaceuticals, Inc.",Diagnostic,"April 6, 2012",2012-04-06,florbetapir F 18,florbetapir
RILPIVIRINE HYDROCHLORIDE,ORIG,1,AP,2011-05-20T00:00:00Z,NA,STANDARD,edurant,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Edurant (rilpivirine) is a non-nucleoside reverse transcriptase inhibitor (NNRTI) indicated in combination with other antiretroviral drugs for the treatment of HIV-1 infection in adults who have never taken HIV therapy (treatment-naïve).,"May 20, 2011",Tibotec Pharmaceuticals,HIV Infection,"May 20, 2011",2011-05-20,rilpivirine,rilpivirine
CLOBAZAM,ORIG,1,AP,2011-10-21T00:00:00Z,NA,STANDARD,onfi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Onfi (clobazam) is a benzodiazepine antiepileptic drug for the treatment of patients with Lennox-Gastaut syndrome (LGS).,"October 21, 2011",Lundbeck Inc.,Lennox-Gastaut Syndrome,"October 21, 2011",2011-10-21,clobazam,clobazam
APIXABAN,ORIG,1,AP,2012-12-28T00:00:00Z,NA,PRIORITY,eliquis,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eliquis (apixaban) is a factor Xa inhibitor anticoagulant indicated to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation, and for the prophylaxis of deep vein thrombosis (DVT) in patients who have undergone hip or knee replacement surgery. ","December 21, 2012",Aegerion Pharmaceuticals Inc.,Homozygous Familial Hypercholesterolemia,"December 21, 2012",2012-12-21,apixaban,apixaban
RUXOLITINIB PHOSPHATE,ORIG,1,AP,2011-11-16T00:00:00Z,NA,PRIORITY,jakafi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jakafi (ruxolitinib) is a Janus kinase (JAK) inhibitor indicated for the treatment of:,"November 16, 2011",Incyte Corporation,"Myelofibrosis, Polycythemia Vera, Graft Versus Host Disease","November 16, 2011",2011-11-16,ruxolitinib,ruxolitinib
TECHNETIUM TC-99M TILMANOCEPT,ORIG,1,AP,2013-03-13T00:00:00Z,NA,STANDARD,lymphoseek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lymphoseek (technetium Tc 99m tilmanocept) Injection is a radioactive
diagnostic agent indicated for lymphatic mapping in patients with breast cancer or melanoma, and for guiding sentinel lymph node
biopsy in patients with squamous cell
carcinoma of the oral cavity.","March 13, 2013",Navidea Biopharmaceuticals,Diagnostic,"March 13, 2013",2013-03-13,technetium Tc 99m tilmanocept,technetium
BOCEPREVIR,ORIG,1,AP,2011-05-13T00:00:00Z,NA,PRIORITY,victrelis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Victrelis (boceprevir) is a hepatitis C virus (HCV) NS3/4A protease inhibitor indicated for the treatment of chronic hepatitis C.,"May 13, 2011",Merck,Chronic Hepatitis C,"May 13, 2011",2011-05-13,boceprevir,boceprevir
AVANAFIL,ORIG,1,AP,2012-04-27T00:00:00Z,NA,STANDARD,stendra,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stendra (avanafil) is a phosphodiesterase type 5 (PDE5) inhibitor for the treatment of erectile dysfunction (ED).,"April 27, 2012","Vivus, Inc.",Erectile Dysfunction,"April 27, 2012",2012-04-27,avanafil,avanafil
CROFELEMER,ORIG,1,AP,2012-12-31T00:00:00Z,NA,PRIORITY,mytesi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mytesi (crofelemer) is a proanthocyanidin oligomer indicated to relieve symptoms of diarrhea in HIV/AIDS patients taking antiretroviral therapy.,"December 31, 2012","Napo Pharmaceuticals, Inc.",Diarrhea,"December 31, 2012",2012-12-31,crofelemer,crofelemer
DAPAGLIFLOZIN,ORIG,1,AP,2014-01-08T00:00:00Z,NA,STANDARD,farxiga,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Farxiga (dapagliflozin) is a sodium-glucose cotransporter 2 (SGLT2) inhibitor indicated:,"January 8, 2014",AstraZeneca,Diabetes Type 2,"January 8, 2014",2014-01-08,dapagliflozin,dapagliflozin
AXITINIB,ORIG,1,AP,2012-01-27T00:00:00Z,NA,STANDARD,inlyta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Inlyta (axitinib) is a kinase inhibitor indicated for the treatment of advanced renal cell carcinoma. ,"January 27, 2012",Pfizer Inc.,Renal Cell Carcinoma,"January 27, 2012",2012-01-27,axitinib,axitinib
ABIRATERONE ACETATE,ORIG,1,AP,2011-04-28T00:00:00Z,NA,PRIORITY,zytiga,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Zytiga (abiraterone acetate) is a CYP17 inhibitor indicated for the treatment of patients with metastatic castration-resistant prostate cancer and metastatic high-risk castration-sensitive prostate cancer.,"April 28, 2011",Centocor Ortho Biotech Inc.,Prostate Cancer,"April 28, 2011",2011-04-28,abiraterone acetate,abiraterone
VEMURAFENIB,ORIG,1,AP,2011-08-17T00:00:00Z,NA,PRIORITY,zelboraf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Zelboraf (vemurafenib) is a kinase inhibitor indicated for the treatment of patients 
with metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test, and for the treatment of patients with Erdheim-Chester Disease with BRAF V600 mutation.","August 17, 2011","Genentech, Inc.",Melanoma -- Metastatic,"August 17, 2011",2011-08-17,vemurafenib,vemurafenib
ACLIDINIUM BROMIDE,ORIG,1,AP,2012-07-23T00:00:00Z,NA,STANDARD,tudorza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tudorza Pressair (aclidinium bromide inhalation powder) is an anticholinergic indicated for the long-term maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. ","July 23, 2012","Allergan, Inc.",Chronic Obstructive Pulmonary Disease,"July 23, 2012",2012-07-23,aclidinium bromide inhalation powder,aclidinium
TAFLUPROST,ORIG,1,AP,2012-02-10T00:00:00Z,NA,STANDARD,zioptan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,Zioptan (tafluprost ophthalmic solution) is a prostaglandin analog indicated for reducing elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.,"February 10, 2012","Merck & Co., Inc.","Glaucoma (Open Angle), Intraocular Hypertension","February 10, 2012",2012-02-10,tafluprost ophthalmic solution,tafluprost
CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE,ORIG,1,AP,2012-07-16T00:00:00Z,NA,STANDARD,prepopik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prepopik (sodium picosulfate, magnesium oxide and citric acid) is a stimulant laxative and osmotic laxative combination indicated for cleansing of the colon as a preparation for colonoscopy in adults.","July 16, 2012",Ferring Pharmaceuticals,Bowel Preparation,"July 16, 2012",2012-07-16,"sodium picosulfate, magnesium oxide and citric acid",sodium
